Turbine,Severity Score
8063_,55.12859301121998
12186_,55.08266849539475
5871_,54.91038789063075
6858_,54.86907540268997
12475_,54.832581595189446
11585_,54.76902470946808
5839_,54.72579671155087
6825_,54.60137804857681
7252_,54.588789560514364
16587_,54.55517702844435
6824_,54.47923973761061
12367_,54.476057389447256
14703_,54.46976252391705
6869_,54.45752037095832
7549_,54.426882104101544
8781_,54.40876249451075
12209_,54.408762494510746
15107_,54.34146759957425
6826_,54.299768332658786
14607_,54.15598048583675
6897_,54.14982387246015
9633_,54.12596630138893
6836_,54.11579517448996
7567_,54.10417851337948
10017_,54.08487775088866
14488_,54.05500322803375
6889_,54.051727890087655
5945_,53.99711571599433
8068_,53.99421128157755
9996_,53.98217845456689
8778_,53.92670830369095
12184_,53.92670830369094
5830_,53.66542215127333
8802_,53.65829371094477
12216_,53.62841918808987
7634_,53.622124322559664
8049_,53.615528384296596
12474_,53.56112429315336
16585_,53.50288920301225
5392_,53.46056444424854
8904_,53.43006442954539
6831_,53.34901342608147
7586_,53.289387857092244
9645_,53.28178960493941
7599_,53.276799369029796
10002_,53.20195148431132
15077_,53.16130225869751
16018_,53.13730519247466
14845_,53.13730519247466
5479_,53.12824538767928
6854_,53.11883800478219
9652_,53.08494755896561
11590_,52.98459579301086
16010_,52.966337931266445
9992_,52.96059996978603
14490_,52.9204832462377
6815_,52.90554598481026
5827_,52.88998323153455
11954_,52.87822831827046
6420_,52.81086359253748
12473_,52.79848318742511
16586_,52.76798317272196
8044_,52.75954885977483
8393_,52.728423353223434
6842_,52.71411158364423
7597_,52.63989633132926
6862_,52.56990632792403
8073_,52.52992909952734
5836_,52.52674675136399
6810_,52.49610848450723
8773_,52.47854453596821
8117_,52.46616413085585
10027_,52.39022684002212
8730_,52.383931974491894
11952_,52.375289578594675
6901_,52.370716751583224
12203_,52.34160721572818
7622_,52.33510426724788
16065_,52.331991749881006
10016_,52.26801745526146
12471_,52.2556370501491
6865_,52.16086166809356
16067_,52.11869972990906
7621_,52.02422542058638
5048_,51.99690775404657
5090_,51.94178518127233
12476_,51.94178518127233
12123_,51.92705600279497
15646_,51.899420208702516
16589_,51.85955302490837
8405_,51.85595451084486
8777_,51.853258159378164
8029_,51.835254885952686
15667_,51.822758144675014
8793_,51.779877724859496
10032_,51.75629806753483
7272_,51.731258100565576
10033_,51.7076784432409
7403_,51.661198266363876
5867_,51.63408868277417
15594_,51.58428790558019
15071_,51.54217122976656
8890_,51.5323476809693
7615_,51.50579375843137
5879_,51.43006455054771
12187_,51.398939043996315
8772_,51.38932357814914
8072_,51.375543131261004
16588_,51.31020393915205
7241_,51.31020393915205
8804_,51.30126047052198
6888_,51.25196884901096
6847_,51.10873666324069
7600_,51.09103446254807
3768_,51.07547170927236
8080_,51.02343849487871
6903_,51.02319019812251
11566_,50.9932395529084
8770_,50.90194759174906
8755_,50.88680224737152
8384_,50.86529220666731
11827_,50.83188775754737
6843_,50.82185488280204
8732_,50.77641760667144
5856_,50.74315265270311
15083_,50.71265263799996
15665_,50.630420481636015
11968_,50.60268540619804
3757_,50.58456579660726
8725_,50.581800857342074
10358_,50.56312558669949
7250_,50.55130084263893
8836_,50.462565737794655
15601_,50.45627087226445
14508_,50.434830662356696
8991_,50.434830662356696
7598_,50.41712846166408
12131_,50.414154196450816
14487_,50.34983356672756
11189_,50.347068627462384
3781_,50.31954163497451
16664_,50.288833537321274
12212_,50.28883353732126
15098_,50.28883353732126
12211_,50.279773732525875
12214_,50.279773732525875
15658_,50.27348515855841
6859_,50.248509973820866
14771_,50.2429788522925
6866_,50.18709129251841
16066_,50.136541546755616
15091_,50.12748174196023
8776_,50.11254448053278
12470_,50.03874663711597
10112_,50.03874663711597
15113_,50.017514510158314
7578_,49.97774660770968
16590_,49.926014466048876
5831_,49.919719600518654
5454_,49.910451712773174
14493_,49.76092466147271
7249_,49.76092466147269
6827_,49.72178225087232
10021_,49.66292166888297
15586_,49.57183779067369
8789_,49.48407575577938
12466_,49.45357574107623
15603_,49.44334107494357
5864_,49.43490047043367
12468_,49.388837702454815
10115_,49.36484063623197
16011_,49.36484063623197
12472_,49.35833768775168
6809_,49.288485936500074
10369_,49.26116826996027
15078_,49.17575376543298
8794_,49.172433165116
14501_,49.126578480087254
12386_,49.126578480087254
12205_,49.12381354082206
8727_,49.118491745241805
7538_,49.11101572681155
10329_,49.08989993601921
12128_,49.0352865189279
7246_,49.029756640397544
10018_,49.02497573043602
6433_,49.023879183765494
6816_,49.00504109254369
7580_,48.99337916906235
14305_,48.98645881168388
5875_,48.97705142878678
14486_,48.9742864895216
8754_,48.96522668472621
8390_,48.9404658745015
15114_,48.934726670023075
7244_,48.91702446933044
8735_,48.901114137953044
6900_,48.89440310652266
12044_,48.89205433315765
15580_,48.89205433315765
6895_,48.8895050114033
6887_,48.88022958909707
14512_,48.87649157988195
16007_,48.87372664061677
14246_,48.87372664061677
7607_,48.854425878125944
12208_,48.836931760383415
10030_,48.79778934978303
5572_,48.785199618722594
8786_,48.78499153577251
12207_,48.730494454846514
4973_,48.69999444014338
12127_,48.666381908073355
11567_,48.65732210327796
6860_,48.619484322298185
8397_,48.61651130008293
11580_,48.5685869984337
7616_,48.56582205916853
15620_,48.56166664105524
7365_,48.547702449577734
10014_,48.53608578846725
7605_,48.50716956012925
13910_,48.50184776454898
4978_,48.48946735943661
8036_,48.4838444911235
10129_,48.47390460616091
14513_,48.452672479203265
5382_,48.45032494883623
14910_,48.4467950225712
5385_,48.413112659704716
6817_,48.38621240206307
6885_,48.385794993164915
9643_,48.37757000616584
10343_,48.348699040198696
8757_,48.321820698545366
14606_,48.303145427902784
15662_,48.276383422414774
7406_,48.23938045923132
14271_,48.23938045923132
16008_,48.20888044452817
7444_,48.19020517388561
9658_,48.17423978714479
11830_,48.17208556429481
7274_,48.154383363602186
15637_,48.150859728899896
8441_,48.11758848336882
11834_,48.068413198023094
5872_,48.03535632700486
5911_,47.998353363821415
5823_,47.96806143206835
10034_,47.93424081704825
5822_,47.90982634192725
7592_,47.87593589611068
7489_,47.84861822957085
7257_,47.84647878215393
14489_,47.818326297817805
14514_,47.818326297817805
7428_,47.81556135855262
14912_,47.77876647831926
15070_,47.77876647831926
4585_,47.72682625370836
6432_,47.709679714067526
15096_,47.68789192605807
11943_,47.6538619850899
8771_,47.6422465669774
8082_,47.629472099349414
4970_,47.61720660000814
7617_,47.614094082641266
12385_,47.60503427784587
14279_,47.58947152457018
542_,47.57729920240791
5442_,47.56547445834732
8056_,47.55514051086914
8855_,47.52867957811397
5054_,47.519619773318574
8081_,47.491144300261276
5860_,47.446864830648174
15109_,47.407305011149624
15610_,47.38575475663931
12383_,47.36400718243596
14325_,47.34630498174334
12125_,47.34277505547829
8026_,47.32649382057159
16017_,47.32444736293741
8734_,47.31856990630538
3755_,47.30363264487792
12126_,47.29415543118437
7333_,47.293947348234276
16063_,47.27901008680682
11581_,47.26309975542944
14515_,47.22077499666571
7347_,47.22077499666571
8743_,47.214480131135495
6819_,47.170015924954846
11971_,47.15998305020951
16014_,47.15071516246402
8042_,47.14760264509715
7571_,47.05568519208955
11543_,47.0316881258667
5386_,47.01336043332582
14587_,46.922485881064645
5366_,46.90062826225873
15597_,46.86639023834045
6882_,46.8610684427602
3831_,46.82683041884193
7436_,46.82095296220985
6855_,46.820744879259784
6863_,46.82060538410817
14603_,46.812518649262714
7379_,46.81189315741445
7642_,46.80559829188426
10384_,46.778836286396235
5842_,46.68422372491992
8992_,46.68050906208734
11969_,46.66610411532913
16015_,46.62004134735027
8805_,46.619184613565636
8069_,46.565961675322455
8746_,46.555928800577114
8058_,46.5552103189461
16012_,46.546451586883556
6405_,46.5411297913033
15095_,46.522871929558875
6867_,46.51276922401708
16013_,46.50730917628318
7511_,46.507309176283165
10029_,46.47051429604982
12130_,46.451839025407246
7353_,46.449074086142055
7269_,46.449074086142055
8887_,46.42839762023619
10426_,46.427848250747154
14909_,46.42507701991922
10000_,46.38869954858402
4972_,46.37901425194037
15079_,46.35778212498271
5478_,46.35501718571753
7589_,46.31448429626904
10024_,46.31234484885211
15170_,46.30584190037182
12129_,46.29325216931138
14258_,46.266282080873275
9994_,46.220844804742676
5565_,46.18682115533725
12366_,46.17222518044875
4518_,46.103749132612215
6875_,46.095105493716986
10352_,46.07996014933945
6828_,46.05029495243262
14292_,46.04925205168622
15656_,46.04081773873907
5088_,46.025254985463356
10126_,46.025254985463356
6894_,46.024837576565204
4847_,46.01619518066797
8783_,46.01619518066797
7472_,46.007552784770745
10414_,45.99773428453823
12467_,45.99445389802737
8750_,45.99164245339334
14604_,45.98632065781309
7399_,45.98569516596482
11210_,45.964463039007164
5448_,45.964463039007164
8736_,45.940257889834236
14507_,45.92158261919165
8918_,45.909132383282845
7481_,45.8601651808872
10349_,45.851730867940056
14496_,45.845227919459745
14516_,45.845227919459745
14510_,45.83616811466437
5821_,45.82337030065384
14846_,45.814727904756616
6407_,45.80705857880933
10007_,45.80650291775755
5868_,45.77579357710632
12213_,45.775168085258066
12215_,45.775168085258066
7503_,45.775168085258066
8034_,45.76874125913698
5007_,45.76866513677776
6418_,45.76417815899383
8818_,45.75117101903523
9655_,45.71458546474994
8740_,45.70199573368951
10466_,45.683876124098724
4627_,45.66617392340609
11573_,45.6502635920287
3750_,45.650055509078605
15617_,45.63725769506809
14517_,45.63193589948782
12469_,45.63193589948782
4876_,45.61699863806037
13585_,45.604200824049855
7323_,45.60143588478467
16064_,45.592376079989286
6413_,45.58587313150898
8061_,45.58296869709219
10023_,45.55931920897104
15568_,45.54555461657333
8728_,45.449143894219034
8774_,45.44540588500391
11951_,45.4430571116389
9649_,45.42740261157843
7614_,45.369051185272006
7374_,45.360408789374766
6439_,45.35179757037109
10404_,45.35134898457938
10105_,45.35134898457937
15392_,45.350723492731134
8038_,45.34751798558149
9661_,45.32458697909136
8841_,45.31455410434601
14274_,45.30867664771396
15659_,45.30591170844878
3753_,45.29587883370343
10012_,45.25715383200122
10124_,45.25355407493972
4011_,45.217625189396244
10013_,45.20769938991097
15585_,45.14733114391567
7261_,45.14082190387261
14309_,45.123119703179995
8800_,45.11938169396486
15650_,45.11308682843465
12465_,45.08632482294664
8048_,45.045791933498144
9995_,45.040169065185026
10122_,45.03438459833573
8795_,45.00664952289776
8084_,45.00604737743206
8787_,44.96708970339922
14304_,44.951526950123515
7402_,44.948970093808434
6812_,44.94481467569514
10355_,44.89723795214761
8729_,44.89115241256548
8920_,44.89052692071723
14321_,44.86929479375956
15633_,44.85926191901422
10914_,44.780884108030705
8040_,44.765622427487855
8071_,44.74388114484725
8457_,44.717002803193914
5061_,44.69300573697108
11577_,44.67751281449185
7425_,44.67744298369538
7259_,44.63477064682997
14783_,44.63477064682997
11605_,44.63477064682997
8946_,44.63138021571654
6925_,44.61727637815672
7408_,44.6068274884419
10468_,44.59158915428161
10411_,44.55842223866082
6874_,44.548244820199095
8816_,44.54327060272052
545_,44.51927353649768
5086_,44.451978641561176
8045_,44.397481560635185
8024_,44.3813631463077
11588_,44.378180798144356
5416_,44.354183731921516
5457_,44.34768078344121
7336_,44.332326113115606
15668_,44.310885903207854
8052_,44.3044063011101
15076_,44.289445693300095
8758_,44.28688883698502
14908_,44.28688883698501
15087_,44.28688883698501
7522_,44.271326083709305
