,NOM_CORE,NOM_INSTALACION,COD_DATOS_YMA,COD_INSTALACION,COD_ELEMENTO,COD_ALERTA_PRE,BIN_VIENTO,BIN_YAW,TIEMPO_TOTAL,POT_MEDIA,VEL_VIENTO_MEDIA,POT_STD,VEL_VIENTO_STD,RANKING,FEC_HORA_INI,FEC_HORA_FIN
54,,LAGOA II,31100386.0,2001.0,15782.0,62364517.0,"(6, 9]","(-10, -6]",151010.0,1175.3,7.59,420.75,1241.2,5.0,2020-10-01,2020-11-01
55,,LAGOA II,31100385.0,2001.0,15782.0,62364517.0,"(6, 9]","(-14, -10]",83000.0,1101.78,7.58,410.73,1168.75,7.0,2020-10-01,2020-11-01
56,,LAGOA II,31100384.0,2001.0,15782.0,62364517.0,"(6, 9]","(-18, -14]",35420.0,995.28,7.53,390.27,1062.05,9.0,2020-10-01,2020-11-01
57,,LAGOA II,31100383.0,2001.0,15782.0,62364517.0,"(6, 9]","(-22, -18]",13650.0,886.67,7.47,372.23,954.75,12.0,2020-10-01,2020-11-01
58,,LAGOA II,31100382.0,2001.0,15782.0,62364517.0,"(6, 9]","(-26, -22]",6020.0,810.26,7.46,347.27,874.69,13.0,2020-10-01,2020-11-01
59,,LAGOA II,31100381.0,2001.0,15782.0,62364517.0,"(6, 9]","(-Infinito, -26]",6700.0,659.54,7.37,292.61,714.81,15.0,2020-10-01,2020-11-01
60,,LAGOA II,31100380.0,2001.0,15782.0,62364517.0,"(3, 6]","(26, Infinito]",10590.0,309.24,5.13,168.07,347.46,13.0,2020-10-01,2020-11-01
61,,LAGOA II,31100379.0,2001.0,15782.0,62364517.0,"(3, 6]","(22, 26]",5790.0,352.46,5.15,174.54,388.7,11.0,2020-10-01,2020-11-01
62,,LAGOA II,31100378.0,2001.0,15782.0,62364517.0,"(3, 6]","(18, 22]",10080.0,383.39,5.15,192.66,424.48,9.0,2020-10-01,2020-11-01
63,,LAGOA II,31100377.0,2001.0,15782.0,62364517.0,"(3, 6]","(14, 18]",14180.0,400.86,5.19,211.08,448.45,8.0,2020-10-01,2020-11-01
